Equipement,Désignation,Fabricant,Zone de tri,Poste technique,Désignation,Année constr.,Cat. véhicule,Date acquis.,Date mise serv.,Poste respons.,Type de propul.,Type pétrole,Statut util.,Fin de validité,Modex - Catégorie cy,PowerBI - Catégorie
10285,GMC SAVANA 2500 (NACELLE) (7249),GMC,VENDU - ENCANS RITCHIES BROS.,,,1997,V.CAMION,1997-02-12,2001-10-01,VI.MECAN,AR,ESSENCE,VEND,2013-04-17,Fourgonette,Fourgonette
10294,8134 - FORD WINDSTAR,FORD,,,,1998,V.FOURG,1998-02-01,2001-10-01,VI.MECAN,AV,ESSENCE,VEND,2008-08-11,Fourgonette,Minifourgonette
10406,FORD F-150 XL  (0782),FORD,VENDU - ENCANS RITCHIES BROS.,,,1998,V.PICK-UP,1998-04-01,2001-10-01,VI.MECAN,4R,ESSENCE,VEND,2011-12-28,Pick-up amenage,Pick-up
10416,HONDA TRX45051 (TOUT-TERRAIN) (1605),HONDA,VENDU - ENCANS RITCHIES BROS.,,,2001,V.TOUT-TER,2000-08-04,2001-10-01,VE.MECAN,,ESSENCE,VEND,2012-08-17,Tout-terrain,Tout-terrain
10417,ARGO MAGNUM ATV (TOUT-TERRAIN) (1660),ARGO,TOUT-TERRAIN,,,1991,V.TOUT-TER,1991-04-08,2001-10-01,VE.MECAN,,ESSENCE,VEND,2011-04-21,Tout-terrain,Tout-terrain
10418,REMORQUE F.B.M. (1753),REMORQUE,REMORQUE TRANSMISSION,V-27-310,B.A. Mauricie,1991,V.REMORQUE,1991-04-15,2001-10-01,VE.MR,NA,,SERV,2017-12-06,Remorque non-lourde,Remorque non lourde
10420,INTERNATIONAL 4700 (URGENCE) [3693],INTERNATIONAL,,,,1993,V.CAMION L,1993-06-04,2001-10-01,VE.MECAN,AR,DIESEL,VEND,2008-02-21,Camion unite d'intervention,Camion unite d'intervention
10425,BOMBARDIER SKANDIC (MOTONEIGE) (8646),BOMBARDIER,VENDU - ENCANS RITCHIES BROS.,,,1998,V.MOTONEIG,1997-12-17,2001-10-01,VE.MECAN,,ESSENCE,VEND,2015-11-04,Motoneige,Motoneige
10426,BOMBARDIER SKANDIC (MOTONEIGE) (8647),BOMBARDIER,VENDU - ENCANS RITCHIES BROS.,,,1998,V.MOTONEIG,1997-12-14,2001-10-01,VE.MECAN,,ESSENCE,VEND,2015-11-04,Motoneige,Motoneige
10429,REMORQUE F.B.M. (8698),REMORQUE,REMORQUE,,,1998,V.REMORQUE,1998-02-17,2001-10-01,VE.MECAN,,,VEND,2010-05-17,Remorque non-lourde,Remorque non lourde
10430,REMORQUE F.B.M. (8752),REMORQUE,,,,1988,V.REMORQUE,1988-04-15,2001-10-01,VE.MECAN,,,VEND,2015-08-31,Remorque non-lourde,Remorque non lourde
10431,8759 - CHARIOT ÉLÉVATEUR FRASER,FRASER,VENDU - ENCANS RITCHIE BROS.,,,1988,V.CHA.ELEV,1988-10-03,2001-10-01,VE.MECAN,,ELECTRIQUE,VEND,2011-04-21,Chariot elevateur electrique,Chariot élévateur
10432,9648 - REMORQUE F.B.M. LOADER,REMORQUE,REMORQUE,,,1989,V.REMORQUE,1989-11-06,2001-10-01,VE.MECAN,,,VEND,2010-05-17,Remorque non-lourde,Remorque non lourde
10475,CHEVROLET EXPRESS 3500  [9805],CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,1999,V.CAMION,1999-05-17,2001-10-01,VI.MECAN,AR,ESSENCE,VEND,2009-01-30,Fourgonette,Fourgonette
10477,FORD ECONOLINE E-250 (1274),FORD,VENDU - ENCANS RITCHIES BROS.,,,2001,V.FOURG,2000-12-04,2001-10-01,VE.MECAN,AR,ESSENCE,VEND,2014-04-15,Fourgonette,Fourgonette
10483,4615 - CHARIOT ÉLÉVATEUR RAYMOND,RAYMOND,CHARIOT ÉLÉVATEUR,,,1984,V.CHA.ELEV,1985-10-01,2001-10-01,VE.MECAN,,ELECTRIQUE,VEND,2011-09-01,Chariot elevateur electrique,Chariot élévateur
