Equipement,Désignation,Fabricant,Zone de tri,Poste technique,Désignation,Année constr.,Cat. véhicule,Date acquis.,Date mise serv.,Poste respons.,Type de propul.,Type pétrole,Statut util.,Fin de validité,Modex - Catégorie cy,PowerBI - Catégorie
10959,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-05-02,VE.MECAN,AR,ESSENCE,VEND,2011-04-21,Fourgonette,Fourgonette
10960,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-04-18,VI.MECAN,AR,ESSENCE,VEND,2017-08-08,Fourgonette,Fourgonette
10961,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-04-18,VE.MECAN,AR,ESSENCE,VEND,2012-04-20,Fourgonette,Fourgonette
10962,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-05-18,VI.MECAN,AR,ESSENCE,VEND,2012-04-20,Fourgonette,Fourgonette
10963,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-06-21,VI.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10964,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-04-21,VE.MECAN,AR,ESSENCE,VEND,2012-04-20,Fourgonette,Fourgonette
10965,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-05-16,VI.MECAN,AR,ESSENCE,VEND,2012-04-20,Fourgonette,Fourgonette
10966,GMC SAVANA 3500,GMC,,,,2005,V.FOURG,2004-12-06,2005-05-02,VE.MECAN,AR,ESSENCE,VEND,2016-07-13,Fourgonette,Fourgonette
10967,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-04-14,VI.MECAN,AR,ESSENCE,VEND,2017-01-12,Fourgonette,Fourgonette
10968,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-05-18,VI.MECAN,AR,ESSENCE,VEND,2012-04-20,Fourgonette,Fourgonette
10969,GMC SAVANA 3500,GMC,,,,2005,V.FOURG,2004-12-06,2005-04-13,VE.MECAN,AR,ESSENCE,VEND,2012-06-05,Fourgonette,Fourgonette
10970,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-05-20,VE.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10971,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-06-01,VI.MECAN,AR,ESSENCE,VEND,2014-03-31,Fourgonette,Fourgonette
10972,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-04-27,VE.MECAN,AR,ESSENCE,VEND,2012-04-20,Fourgonette,Fourgonette
10973,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-06-23,VI.MECAN,AR,ESSENCE,VEND,2012-04-20,Fourgonette,Fourgonette
10974,GMC SAVANA 3500,GMC,,,,2005,V.FOURG,2004-12-06,2005-06-01,VI.MECAN,AR,ESSENCE,VEND,2012-06-05,Fourgonette,Fourgonette
10975,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-04-27,VI.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10976,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-04-21,VE.MECAN,AR,ESSENCE,VEND,2010-10-13,Fourgonette,Fourgonette
10977,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-04-18,VI.MECAN,AR,ESSENCE,VEND,2015-11-04,Fourgonette,Fourgonette
10978,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2004-12-06,2005-05-03,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
10979,CHARIOT ÉLÉVATEUR TOYO UMPANKI,TOYO UMPANKI,ESCOMPTE SUR NOUVEAU #11745,,,1977,V.CHA.ELEV,2004-12-07,2004-12-07,VE.MECAN,,,VEND,2016-07-06,Chariot elevateur au gaz,Chariot élévateur
10980,CHARIOT ÉLÉVATEUR YALE,YALE,CHARIOT ÉLÉVATEUR,,,2004,V.CHA.ELEV,2004-12-10,2004-12-10,VE.MECAN,,,VEND,2011-04-21,Chariot elevateur au gaz,Chariot élévateur
10981,CHEVROLET UPLANDER AWD,CHEVROLET,,,,2005,V.FOURG,2005-01-13,2006-03-02,VE.MECAN,AV,ESSENCE,VEND,2006-03-31,Fourgonette,Minifourgonette
10982,CHEVROLET UPLANDER AWD,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2005-01-13,2005-05-19,VI.MECAN,AV,ESSENCE,VEND,2015-12-11,Fourgonette,Minifourgonette
10983,CHEVROLET UPLANDER AWD,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2005-01-13,2005-11-10,VE.MECAN,AV,ESSENCE,VEND,2013-04-17,Fourgonette,Minifourgonette
10984,CHEVROLET UPLANDER AWD,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2005-01-14,2005-04-20,VI.MECAN,AV,ESSENCE,VEND,2015-12-11,Fourgonette,Minifourgonette
10985,PONTIAC VIBE AWD,PONTIAC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.VOITURE,2005-01-27,2005-06-29,VI.MECAN,4R,ESSENCE,VEND,2013-04-17,Voiture non-amenage,Voiture
10986,PONTIAC VIBE AWD,PONTIAC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.VOITURE,2005-01-27,2005-06-01,VI.MECAN,4R,ESSENCE,VEND,2012-08-17,Voiture non-amenage,Voiture
10987,PONTIAC VIBE AWD,PONTIAC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.VOITURE,2005-01-27,2005-06-01,VE.MECAN,4R,ESSENCE,VEND,2011-09-07,Voiture non-amenage,Voiture
10988,RETROCHARGEUR CATERPILLAR,CATERPILLAR,VÉHICULE VOLÉ,,,2004,V.PEPINE,2005-03-14,2005-05-12,VI.MECAN,4R,DIESEL,VOLÉ,2006-03-31,Pepine,Pepine
10989,RETROCHARGEUR CATERPILLAR,CATERPILLAR,VENDU - ENCANS RITCHIES BROS.,,,2004,V.PEPINE,2005-03-14,2005-05-12,VI.MECAN,4R,DIESEL,VEND,2016-04-26,Pepine,Pepine
10990,GMC SIERRA SLE 2500 4WD,GMC,ENCAN,,,2005,V.PICK-UP,2005-03-24,2005-06-30,VI.LE.DH,4R,DIESEL,VEND,2006-03-31,Pick-up amenage,Pick-up
10991,GMC SIERRA SLE 2500 4WD,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.PICK-UP,2005-03-24,2005-06-16,VI.MECAN,4R,DIESEL,VEND,2015-07-02,Pick-up amenage,Pick-up
10992,SKYJACK,SKYJACK,GESTION DES IMMEUBLES,V-01-100,Gestion des immeubles,2004,V.OUTIL.LO,2004-02-20,2004-02-20,VI.LO.DH,NA,ELECTRIQUE,SERV,,Equipement de levage,Equipement de levage
10993,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2005-05-13,2005-08-03,VI.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10994,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2005-05-13,2005-09-09,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
10995,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2005-05-13,2005-08-04,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
10996,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2005,V.FOURG,2005-05-13,2005-09-09,VI.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10997,REMORQUE (UNITÉ ÉLECTRIQUE),WHITEMAN,,V-01-150-001,ER - Équipement lourds,2004,V.REMORQUE,2005-06-01,2005-06-14,VI.LO.DH,NA,,SERV,,Remorque non-lourde,Remorque équipé moteur
10998,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-12-15,VI.MECAN,AR,ESSENCE,VEND,2017-10-27,Fourgonette,Fourgonette
10999,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-11-29,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11000,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2006-05-30,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11001,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-12-01,VI.MECAN,AR,ESSENCE,VEND,2017-04-24,Fourgonette,Fourgonette
11002,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-11-16,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11003,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-11-30,VI.MECAN,AR,ESSENCE,VEND,2014-06-17,Fourgonette,Fourgonette
11004,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-11-29,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11005,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2006-01-31,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11006,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-11-08,VI.MECAN,AR,ESSENCE,VEND,2016-08-09,Fourgonette,Fourgonette
11007,GMC SAVANA 3500,GMC,,,,2006,V.FOURG,2005-07-13,2006-01-30,VE.MECAN,AR,ESSENCE,VEND,2016-08-08,Fourgonette,Fourgonette
11008,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-11-23,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11009,GMC SAVANA 3500,GMC,ENCAN,,,2006,V.FOURG,2005-07-13,2005-12-06,VI.MECAN,AR,ESSENCE,VEND,2016-07-26,Fourgonette,Fourgonette
11010,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-12-22,VI.MECAN,AR,ESSENCE,VEND,2015-11-04,Fourgonette,Fourgonette
11011,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-12-22,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11012,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2006-02-10,VE.MECAN,AR,ESSENCE,VEND,2014-04-01,Fourgonette,Fourgonette
11013,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2006-01-31,VI.MECAN,AR,ESSENCE,VEND,2017-08-08,Fourgonette,Fourgonette
11014,GMC SAVANA 3500,GMC,ENCAN,,,2006,V.FOURG,2005-07-13,2005-10-27,VI.MECAN,AR,ESSENCE,VEND,2016-06-01,Fourgonette,Fourgonette
11015,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2006-01-13,VI.MECAN,AR,ESSENCE,VEND,2014-04-01,Fourgonette,Fourgonette
11016,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-10-21,VI.MECAN,AR,ESSENCE,VEND,2017-01-12,Fourgonette,Fourgonette
11017,GMC SAVANA 3500,GMC,,,,2006,V.FOURG,2005-07-13,2005-12-08,VI.MECAN,AR,ESSENCE,VEND,2016-07-26,Fourgonette,Fourgonette
11018,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-13,2005-02-02,VI.MECAN,AR,ESSENCE,VEND,2015-07-02,Fourgonette,Fourgonette
11019,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-14,2006-01-31,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11020,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-14,2005-11-10,VI.MECAN,AR,ESSENCE,VEND,2017-01-12,Fourgonette,Fourgonette
11021,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-14,2006-08-02,VI.MECAN,AR,ESSENCE,VEND,2012-04-20,Fourgonette,Fourgonette
11022,GMC SAVANA 3500,GMC,ENCAN,,,2006,V.FOURG,2005-07-14,2005-12-01,VE.MR,AR,ESSENCE,VEND,2017-12-19,Fourgonette,Fourgonette
11023,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-14,2005-11-07,VI.MECAN,AR,ESSENCE,VEND,2017-04-20,Fourgonette,Fourgonette
11024,GMC SAVANA 3500,GMC,,,,2006,V.FOURG,2005-07-14,2005-11-08,VE.MECAN,AR,ESSENCE,VEND,2016-08-10,Fourgonette,Fourgonette
11025,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-14,2005-10-27,VI.MECAN,AR,ESSENCE,VEND,2014-06-17,Fourgonette,Fourgonette
11026,GMC SAVANA 3500,GMC,,,,2006,V.FOURG,2005-07-14,2005-10-21,VI.MECAN,AR,ESSENCE,VEND,2016-07-18,Fourgonette,Fourgonette
11027,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-07-14,2006-03-09,VE.MECAN,AR,ESSENCE,VEND,2015-08-14,Fourgonette,Fourgonette
11031,CHEVROLET UPLANDER AWD,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-09-06,2009-09-29,VE.MECAN,AV,ESSENCE,VEND,2015-12-11,Fourgonette,Minifourgonette
11032,GMC SIERRA SLE 2500 4WD,GMC,ENCAN,,,2006,V.PICK-UP,2005-09-09,2005-11-01,VE.MR,4R,DIESEL,VEND,2017-12-19,Pick-up amenage,Pick-up
11033,GMC SIERRA SLE 2500 4WD,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.PICK-UP,2005-09-09,2005-11-01,VE.MECAN,4R,DIESEL,VEND,2017-08-08,Pick-up amenage,Pick-up
11034,GMC SIERRA SLE 2500 4WD,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.PICK-UP,2005-09-09,2005-11-01,VE.MECAN,4R,DIESEL,VEND,2013-10-31,Pick-up amenage,Pick-up
11035,REMORQUE IDEAL,REMORQUE,VENDU - ENCANS RITCHIES BROS.,,,2005,V.REMORQUE,2005-09-09,2005-10-31,VE.MECAN,,,VEND,2017-04-20,Remorque non-lourde,Remorque non lourde
11036,CHARIOT ÉLÉVATEUR (GPL),CATERPILLAR,CHARIOT ÉLÉVATEUR,V-01-080,Usine LSR,2005,V.CHA.ELEV,2005-09-16,2005-09-16,VI.LO.DH,NA,PROP,SERV,,Chariot elevateur au gaz,Chariot élévateur
11037,REMORQUE IDEAL,REMORQUE,REMORQUE FERMÉE,V-02-999,Garage,2005,V.REMORQUE,2005-09-21,2005-10-31,VI.LE.BL,NA,,SERV,,Remorque non-lourde,Remorque non lourde
11038,INTERNATIONAL (CAMION À PALAN),INTERNATIONAL,CAMION À PALAN,V-01-150-001,ER - Équipement lourds,2006,V.CAMION L,2005-09-01,2005-09-28,VI.LO.DH,AR,DIESEL,SERV,,Camion Palan,Camion Palan
11039,INTERNATIONAL 7500,INTERNATIONAL,CENTRE DE DISTRIBUTION (CDD),V-01-090,Centre de distribution,2006,V.CAMION L,2005-09-28,2006-01-25,VI.LO.DH,AR,DIESEL,SERV,,Camion unite d'intervention,Camion de Livraison
11040,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-10-31,2006-02-15,VE.MECAN,AR,ESSENCE,VEND,2017-08-10,Fourgonette,Fourgonette
11041,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-10-31,2006-03-02,VI.MECAN,AR,ESSENCE,VEND,2014-06-17,Fourgonette,Fourgonette
11042,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-10-31,2006-03-27,VE.MECAN,AR,ESSENCE,VEND,2013-01-16,Fourgonette,Fourgonette
11043,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-10-31,2006-03-27,VI.MECAN,AR,ESSENCE,VEND,2014-06-17,Fourgonette,Fourgonette
11044,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-10-31,2006-03-27,VI.MECAN,AR,ESSENCE,VEND,2017-08-08,Fourgonette,Fourgonette
11045,GMC SAVANA 2500,GMC,,,,2006,V.FOURG,2005-10-31,2006-03-08,VI.MECAN,AR,ESSENCE,VEND,2014-01-29,Fourgonette,Fourgonette
11046,GMC SAVANA 2500,GMC,,,,2006,V.FOURG,2005-10-31,2006-03-27,VI.LE.LA,AR,ESSENCE,VEND,2018-10-31,Fourgonette,Fourgonette
11047,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-10-31,2006-03-08,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11048,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-10-31,2006-03-30,VE.MECAN,AR,ESSENCE,VEND,2013-01-16,Fourgonette,Fourgonette
11049,GMC SAVANA 2500,GMC,ENCAN,,,2006,V.FOURG,2005-10-31,2005-10-31,VI.LE.DH,AR,ESSENCE,VEND,2018-10-30,Fourgonette,Fourgonette
11050,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-10-31,2006-04-07,VE.MECAN,AR,ESSENCE,VEND,2014-03-31,Fourgonette,Fourgonette
11051,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-11-03,2006-03-16,VI.MECAN,AR,ESSENCE,VEND,2017-04-20,Fourgonette,Fourgonette
11052,GMC SAVANA 2500,GMC,TECHNICIEN DE PROJETS,V-12-512,Technicien de projet,2006,V.FOURG,2005-03-30,2005-11-03,VE.RO,AR,ESSENCE,SERV,,Fourgonette,Fourgonette
11053,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-11-03,2006-03-31,VE.MECAN,AR,ESSENCE,VEND,2013-10-31,Fourgonette,Fourgonette
11054,GMC SAVANA 2500,GMC,,,,2006,V.FOURG,2005-11-13,2006-05-02,VI.MECAN,AR,ESSENCE,VEND,2016-08-15,Fourgonette,Fourgonette
11055,GMC SAVANA 2500,GMC,ENCAN,,,2006,V.FOURG,2005-11-03,2006-03-27,VI.LE.DH,AR,ESSENCE,VEND,2018-03-27,Fourgonette,Fourgonette
11056,GMC SAVANA 2500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2005-11-03,2006-05-03,VI.MECAN,AR,ESSENCE,VEND,2017-10-27,Fourgonette,Fourgonette
11057,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,CAMION INTERVENTION URGENCE,V-27-311,Tech. Acquisition / Exploitation 1,2006,V.CAMION L,2006-02-06,2006-12-12,VE.MR,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
11058,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,CAMION URGENCE,V-28-999,Garage,2006,V.CAMION L,2006-02-06,2006-11-29,VE.ES,AR,DIESEL,HSER,,Camion unite d'intervention,Camion unite d'intervention
11059,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,CAMION INTERVENTION URGENCE,V-29-312,Technicien Acquisition/Exploitation,2006,V.CAMION L,2006-02-06,2009-03-09,VE.QC,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
11060,GMC SAVANA 3500 SPÉCIAL,GMC,ETG,V-01-030-001,Mesure d'urgence,2006,V.FOURG,2006-03-30,2006-05-02,VI.LO.DH,AR,DIESEL,SERV,,Fourgonette,Fourgonette
11061,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-05,2006-09-11,VE.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11062,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-05,2007-02-21,VE.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11063,GMC SAVANA 3500,GMC,,,,2006,V.FOURG,2006-04-05,2006-09-18,VI.MECAN,AR,ESSENCE,VEND,2016-07-22,Fourgonette,Fourgonette
11064,GMC SAVANA 3500,GMC,,,,2006,V.FOURG,2006-04-05,2006-12-11,VI.MECAN,AR,ESSENCE,VEND,2016-07-13,Fourgonette,Fourgonette
11065,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-09-11,VE.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11066,GMC SAVANA 3500,GMC,,,,2006,V.FOURG,2006-04-07,2006-09-27,VI.MECAN,AR,ESSENCE,VEND,2016-07-13,Fourgonette,Fourgonette
11067,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-09-12,VI.MECAN,AR,ESSENCE,VEND,2014-06-17,Fourgonette,Fourgonette
11068,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-09-05,VE.MECAN,AR,ESSENCE,VEND,2014-09-29,Fourgonette,Fourgonette
11069,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-09-27,VI.MECAN,AR,ESSENCE,VEND,2015-12-11,Fourgonette,Fourgonette
11070,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-09-05,VE.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
11071,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-09-18,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11072,GMC SAVANA 3500 (véhicule incendié),GMC,,,,2006,V.FOURG,2006-04-07,2006-09-27,VI.MECAN,AR,ESSENCE,VEND,2008-10-02,Fourgonette,Fourgonette
11073,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2007-11-30,VE.MECAN,AR,ESSENCE,VEND,2014-06-17,Fourgonette,Fourgonette
11074,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-09-11,VE.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11075,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-09-12,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11076,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-11-30,VE.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11077,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-09-11,VI.MECAN,AR,ESSENCE,VEND,2017-08-08,Fourgonette,Fourgonette
11078,GMC SAVANA 3500,GMC,,,,2006,V.FOURG,2006-04-07,2006-04-18,VE.MECAN,AR,ESSENCE,VEND,2016-07-13,Fourgonette,Fourgonette
11079,GMC SAVANA 3500,GMC,,,,2006,V.FOURG,2006-04-07,2006-09-18,VI.MECAN,AR,ESSENCE,VEND,2016-07-13,Fourgonette,Fourgonette
11080,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2006-09-25,VI.MECAN,AR,ESSENCE,VEND,2017-01-13,Fourgonette,Fourgonette
11081,GMC SAVANA 3500,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-04-07,2007-02-28,VI.MECAN,AR,ESSENCE,VEND,2017-04-20,Fourgonette,Fourgonette
11082,VERMEER TRANCHEUSE T558,VERMEER,VENDU,,,2002,V.DIVERS,2006-04-12,2007-02-15,VI.MECAN,,,VEND,2010-10-13,Pepine,Outil Lourd
11083,GMC SAVANA 3500 DIESEL,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-05-03,2007-02-15,VI.MECAN,AR,DIESEL,VEND,2017-08-08,Fourgonette,Fourgonette
11084,GMC SAVANA 3500 DIESEL,GMC,VENDU - ENCANS RITCHIES BROS.,,,2006,V.FOURG,2006-05-03,2007-04-10,VE.MECAN,AR,DIESEL,VEND,2017-04-20,Fourgonette,Fourgonette
11085,GMC SAVANA 3500 DIESEL,GMC,,V-28-310-001,Sherbrooke,2006,V.FOURG,2006-05-03,2007-02-12,VE.ES,AR,DIESEL,SERV,,Fourgonette,Fourgonette
11086,GMC SAVANA 3500 DIESEL NACELLE,GMC,CAMION NACELLE,V-07-240,B.A. MTL Ouest (Lasalle),2006,V.FOURG,2006-05-03,2007-02-13,VI.LE.LA,AR,DIESEL,SERV,,Fourgonette,Fourgonette
11087,GMC SAVANA 3500 SPÉCIAL,GMC,CAMION DE VOUTE,V-05-210,B.A. Montérégie (Brossard),2006,V.FOURG,2006-05-12,2006-09-18,VI.LE.BR,AR,DIESEL,SERV,,Fourgonette,Fourgonette
11088,GMC SAVANA 3500 SPÉCIAL,GMC,CAMION DE VOUTE,V-06-223,Tech. Acquisition / Exploitation 2,2006,V.FOURG,2006-05-12,2006-05-12,VI.LE.AN,AR,DIESEL,SERV,,Fourgonette,Fourgonette
11090,REMORQUE IDEAL,,REMORQUE,,,2006,V.REMORQUE,2006-11-21,2006-11-21,VE.MECAN,,,VEND,2011-09-01,Remorque non-lourde,Remorque non lourde
