,Entretien
97,RÉPARER - CHASSIS PIÈCE CARROSSERIE
98,RECHERCHER PANNE (diagnostic) - FILAGE ÉLECTRIQUE
99,RECHERCHER PANNE (diagnostic) - FILAGE ÉLECTRIQUE
100,VÉRIFIER - BATTERIE
101,RECHERCHER PANNE (diagnostic) - CODE DÉFAUT VANAIR (Fault code)
102,RECHERCHER PANNE (diagnostic) - CHAUFFAGE CONTRÔLE SYSTÈME DE CLIMATISATION
103,SURVOLTER - BATTERIE
104,RECHERCHER PANNE (diagnostic) - VANAIR
105,AJUSTER - MISE AU POINT (Tune -up)
106,RÉPARER - AMORTISSEUR
107,REMPLACER - PNEU PNEU ROUE
108,RECHERCHER PANNE (diagnostic) - CYLINDRE DE LEVAGE
109,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
110,RECHERCHER PANNE (diagnostic) - Programme Entretien Préventif
111,VÉRIFIER - VANAIR
112,AJUSTER - RÉGLEUR (Slack ajuster)
113,REMPLACER - AMORTISSEUR,RÉPARER - PNEU PNEU ROUE
114,RÉPARER - RÉGLEUR (Slack ajuster)
115,REMPLACER - COMPOSANTE MAJEURE DU MOTEUR
116,RÉPARER - BOÎTIER DE DIRECTION ( Steering box),RÉPARER - RÉSERVOIR À AIR,RÉPARER - TUYAUX,RÉPARER - MISE AU POINT (Tune -up)
117,RÉPARER - FLÈCHE SIGNALÉTIQUE,REMPLACER - PLAQUETTES
118,REMPLACER - RÉCEPTEUR (Booster)
119,REMPLACER - SABOTS
120,INSTALLER - FILAGE ÉLECTRIQUE
121,MODIFIER - COMPRESSEUR,INSTALLER - CHASSIS PIÈCE CARROSSERIE,AJUSTER - COMPRESSEUR
122,REMPLACER - POMPE À EAU
123,REMPLACER - RÉSERVOIR
124,MODIFIER - VALVE DE SUSPENSION
125,RÉPARER - FLÈCHE SIGNALÉTIQUE
126,RÉPARER - POMPE HYDRAULIQUE SYSTÈME PRINCIPAL
127,VÉRIFIER - POMPE HYDRAULIQUE SYSTÈME PRINCIPAL
128,RECHERCHER PANNE (diagnostic) - TAMBOURS
129,INSTALLER - FILAGE ÉLECTRIQUE,RECHERCHER PANNE (diagnostic) - COMPOSANTE MAJEURE DU MOTEUR
130,RECHERCHER PANNE (diagnostic) - VANAIR
131,VÉRIFIER - PNEU PNEU ROUE
132,NETTOYER / LAVER - BATTERIE,RÉPARER - POMPE À SERVO-DIRECTION,REMPLACER - COLLET
133,REMPLACER - GYROPHARE
134,RÉPARER - FLÈCHE SIGNALÉTIQUE
135,VÉRIFIER - COMPRESSEUR
136,INSTALLER - FABRIQUE SYSTÈME ÉLECTRIQUE
137,RECHERCHER PANNE (diagnostic) - POMPE HYDRAULIQUE SYSTÈME PRINCIPAL,REMPLACER - AIR DRYER
138,RÉPARER - AIR DRYER
139,RÉPARER - CODE DÉFAUT VANAIR (Fault code)
140,NETTOYER / LAVER - COMPRESSEUR,RÉPARER - COMPRESSEUR À AIR
141,RÉPARER - COMPRESSEUR
142,REMPLACER - LUMIÈRE DE JOUR (Day running light)
143,VÉRIFIER - COMPRESSEUR
144,REMPLACER - BOUCHONS
145,RÉPARER - TRANSMISSION TRANSMISSION AUTOMATIQUE BOÎTE DE TRANSFERT
